Categoria/Cartella;Nome File (Titolo Attuale);Keywords Specifiche Proposte;Descrizione Visiva (DA COMPILARE)
Fiori per Funerale/cuscino;fiori-funerale-cuscino-elegante-tomba-chiesa-ravenna.webp;fiori, funerale, cuscino, elegante, tomba, chiesa, ravenna;Composizione floreale per funerale a forma di Cuscino con rose arancio, girasoli, gerbere arancioni e fiori arancio e il nastro commemorativo all’interno di una casa funeraria elegante di Ravenna per il funerale con i ceri votivi accesi
Fiori per Funerale/kalonche;composizione-pianta-kalanchoe-lutto-tomba-chiesa-napoli.webp;composizione, pianta, kalanchoe, lutto, tomba, chiesa, napoli;Pianta di Kalonche gialle posate su una lastra di marmo nero all’interno di una casa funeraria di Napoli, una mano li accarezza dolcemente, un bigliettino commemorativo ed un lumino acceso 
Fiori per Funerale/kalonche;pianta-kalanchoe-bianca-condoglianze-fiori-floremoria-forli.webp;pianta, kalanchoe, bianca, condoglianze, fiori, floremoria, forli;Pianta di Kalonche violette posate su una lastra di marmo nero all’interno di un cimitero di Forlì, una mano li accarezza dolcemente, un bigliettino commemorativo ed un lumino acceso 
Fiori per Funerale/kalonche;pianta-kalanchoe-fiori-funerale-lutto-loculo-trieste.webp;pianta, kalanchoe, fiori, funerale, lutto, loculo, trieste;Pianta di Kalonche arancioni posate su una lastra di marmo bianco all’interno di una casa funeraria di Trieste, una mano li accarezza dolcemente, un bigliettino commemorativo ed un lumino acceso 
Fiori per Funerale/kalonche;piante-funerale-kalanchoe-consegna-tomba-lutto-firenze.webp;piante, funerale, kalanchoe, consegna, tomba, lutto, firenze;Pianta di Kalonche rosse posate su una lastra di marmo bianco all’interno di una casa funeraria di Firenze, una mano li accarezza dolcemente, un bigliettino commemorativo ed un lumino acceso 
Fiori per Funerale/margherite-gerbere FF;bouquet-margherite-condoglianze-lutto-defunti-freschi-salerno.webp;bouquet, margherite, condoglianze, lutto, defunti, freschi, salerno;Pianta di Margheritone posate su una lastra di marmo nero all’interno di un cimitero di Salerno, una mano li accarezza dolcemente, un bigliettino commemorativo ed un lumino acceso 
Fiori per Funerale/margherite-gerbere FF;composizione-margherite-gerbere-funerale-cimitero-loculo-padova.webp;composizione, margherite, gerbere, funerale, cimitero, loculo, padova;Pianta di Margherite posate su una lapide all’interno di un cimitero di Padova, una mano li accarezza dolcemente, un bigliettino commemorativo ed un lumino rosso acceso 
Fiori per Funerale/margherite-gerbere FF;fiori-funerale-gerbere-chiesa-floremoria-consegna-trento.webp;fiori, funerale, gerbere, chiesa, floremoria, consegna, trento;Pianta di Margherite posate su una lastra di marmo nero all’interno di un cimitero di Trento, una mano li accarezza dolcemente, un bigliettino commemorativo ed un lumino bianco acceso e petali bianchi
Fiori per Funerale/margherite-gerbere FF;mazzo-fiori-gerbere-margherite-lutto-tomba-novara.webp;mazzo, fiori, gerbere, margherite, lutto, tomba, novara;Pianta di Margherite posate su una lapide di pietra all’interno di un cimitero di Novara, una mano li accarezza dolcemente, un bigliettino commemorativo ed un lumino bianco acceso 
Fiori per Funerale/piramide;composizione-floreale-piramide-funerale-loculo-defunti-vicenza.webp;composizione, floreale, piramide, funerale, loculo, defunti, vicenza;Composizione floreale per funerale a forma di Piramide con rose rosa, fiori bianchi e rosa, all’interno di una chiesa di Vicenza con ceri votivi accesi e nastro commemorativo il tutto appoggiato ad una bara elegante
Fiori per Funerale/piramide;composizione-funebre-piramide-elegante-fiori-chiesa-rimini.webp;composizione, funebre, piramide, elegante, fiori, chiesa, rimini;Composizione floreale per funerale a forma di Piramide con rose rosse, gigli e fiori bianchi, all’interno di una casa funeraria elegante di Rimini con nastro commemorativo il tutto a fianco di una bara elegante
Fiori per Funerale/piramide;fiori-piramide-lutto-condoglianze-loculo-freschi-terni.webp;fiori, piramide, lutto, condoglianze, loculo, freschi, terni;Composizione floreale per funerale a forma di Piramide con rose gialle e bianche e fiori bianchi, blu e gialli di stagione, all’interno di una casa funeraria elegante di Terni con nastro commemorativo il tutto a fianco di una bara elegante
Fiori per Funerale/piramide;piramide-fiori-freschi-funerale-tomba-defunti-sassari.webp;piramide, fiori, freschi, funerale, tomba, defunti, sassari;Composizione floreale per funerale a forma di Piramide con rose gialle. Girasoli e fiori bianchi e gialli, all’interno di una chiesa di Sassari con ceri votivi accesi e nastro commemorativo il tutto appoggiato ad una bara elegante
accessori/Nastro commemorativo;accessorio-nastro-dedica-commemorativa-omaggio-floreale-palermo.webp;accessorio, nastro, dedica, commemorativa, omaggio, floreale, palermo;Nastro commemorativo da parte della famiglia dolente appoggiato ad una composizione floreale a forma di Copribara di rose rosse e bianche che coprono un sarcofago all’interno di una chiesa di Palermo per il funerale.
accessori/Nastro commemorativo;nastro-commemorativo-personalizzato-fiori-funerale-freschi-messina.webp;nastro, commemorativo, personalizzato, fiori, funerale, freschi, messina;Nastro commemorativo da parte della famiglia dolente appoggiato ad una composizione floreale a forma di Piramide di rose bianche posate all’interno di una casa funeraria di Messina per il funerale.
accessori/Nastro commemorativo;nastro-seta-corona-fiori-funerale-italia-reggio-emilia.webp;nastro, seta, corona, fiori, funerale, italia, reggio-emilia;Nastro commemorativo da parte della famiglia dolente appoggiato ad una composizione floreale a forma di Copribara di Girasoli che coprono un sarcofago all’interno di una chiesa di Reggio Emilia per il funerale.
accessori/Nastro commemorativo;scritta-nastro-funebre-dedica-caro-estinto-siracusa.webp;scritta, nastro, funebre, dedica, caro, estinto, siracusa;Nastro commemorativo da parte della famiglia dolente appoggiato ad una composizione floreale a forma di Cuscino con rose gialle e arancio posate su un piedistallo di legno all’interno di una chiesa di Siracusa per il funerale.
accessori/lumino;accensione-lumino-voto-cimitero-italia-servizio-udine.webp;accensione, lumino, voto, cimitero, italia, servizio, udine;Lumino commemorativo acceso con l’immagine di Gesù appoggiato su una lapide in marmo all’interno di un cimitero di Udine
accessori/lumino;luce-votiva-commemorativa-tomba-loculo-freschi-brescia.webp;luce, votiva, commemorativa, tomba, loculo, freschi, brescia;Lumino commemorativo rosso acceso e appoggiato su una lapide in marmo nero all’interno di un cimitero di Brescia
accessori/lumino;lumino-tradizionale-defunti-consegna-cimitero-funerale-monza.webp;lumino, tradizionale, defunti, consegna, cimitero, funerale, monza;Lumino commemorativo rosso e acceso appoggiato su una lapide in marmo chiaro all’interno di un cimitero di Monza
accessori/lumino;servizio-cura-loculo-accensione-candela-votiva-latina.webp;servizio, cura, loculo, accensione, candela, votiva, latina;Lumino commemorativo acceso dedicato alla mamma appoggiato su una lapide in marmo all’interno di un cimitero di Latina
accessori/messaggio;biglietto-commemorativo-messaggio-caro-estinto-floremoria-parma.webp;biglietto, commemorativo, messaggio, caro, estinto, floremoria, parma;Biglietto commemorativo con un messaggio personale al defunto posato su una lapide di marmo bianco, all’interno di un cimitero di Parma con una bella composizione di fiori bianchi ed un lumino rosso acceso e petali bianchi
accessori/messaggio;biglietto-scritto-defunti-consegna-fiori-online-milano.webp;biglietto, scritto, defunti, consegna, fiori, online, milano;Biglietto commemorativo con un messaggio personale al defunto legato ad un bouquet di fiori di stagione in un vaso di un loculo all’interno di un cimitero di Milano ed un lumino rosso acceso
accessori/messaggio;messaggio-personalizzato-fiori-defunti-italia-cimitero-reggio-calabria.webp;messaggio, personalizzato, fiori, defunti, italia, cimitero, reggio-calabria;Biglietto commemorativo con un messaggio personale al defunto posato su una lapide di pietra all’interno di un cimitero di Reggio Calabria ed un lumino rosso acceso e petali bianchi e rosa
accessori/messaggio;servizio-scrittura-messaggio-omaggio-floreale-cimitero-catania.webp;servizio, scrittura, messaggio, omaggio, floreale, cimitero, catania;Biglietto commemorativo con un messaggio personale al defunto posato su una lapide di marmo all’interno di un cimitero di Catania ed un lumino rosso acceso
